mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigation_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
232027975,41.557945,2.5065932,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,MY DESIRE,0,,0.0,0.0,0.0,,0,none
314001136,35.10252,-1.864935,0.0,181.0,169.0,0.0,5,2026-06-02 12:00:02.000000,MSSIS,False,OCEAN ARSENAL,9635248,8PZX7,0.0,0.0,9.9,DZGHA,70,none
629009484,25.853376,56.941673,0.1,97.0,97.0,0.0,1,2026-06-02 12:00:02.000000,MSSIS,False,BILI,9285756,C5J496,0.0,0.0,8.0,KHORFAKKAN OPL,89,none
209994000,36.660187,12.665522,0.2,360.0,511.0,-731.3865,0,2026-06-02 12:00:02.000000,MSSIS,False,ARCHANGELOS MICHAEL,0,5BNH5,0.0,0.0,0.0,,30,none
367524230,32.103245,-80.89692,0.0,297.3,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,,0.0,0.0,0.0,,90,none
368109640,38.85438,-76.18658,0.0,355.9,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,WDL2172,0.0,0.0,0.0,,37,none
503156440,-27.869816,153.33208,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,VMQ9805,0.0,0.0,0.0,,36,none
255915758,42.862293,-9.775603,10.3,5.4,5.0,-720.00323,0,2026-06-02 12:00:02.000000,MSSIS,False,GRETA C,1031020,CQ2216,0.0,0.0,5.6,PL SZZ,70,none
503114700,-16.9414,145.77647,0.0,184.9,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,,0.0,0.0,0.0,,30,none
215111000,54.33636,13.843707,0.4,343.9,71.0,0.0,3,2026-06-02 12:00:02.000000,MSSIS,False,KOMODO,9328273,9HA4961,0.0,0.0,5.1,CPA 500 M,99,none
265504700,56.659824,12.853078,0.0,284.2,208.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,PILOT 742SE,0,SFYO,0.0,0.0,1.5,,50,none
352491000,23.647306,58.56388,0.1,84.5,206.0,0.0,1,2026-06-02 12:00:02.000000,MSSIS,False,PRINCE IX,9133599,HPFA,0.0,0.0,4.2,PSQ,80,none
255806396,65.68473,-18.077066,0.1,320.1,263.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,GREG MORTIMER,9834648,CQEI9,0.0,0.0,5.2,IS AKU,60,none
416003066,22.264683,120.53396,6.9,337.1,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,MING TSAIR FA NO 7,0,,0.0,0.0,0.0,,0,none
257674600,64.94623,11.368999,0.0,360.0,511.0,-731.3865,0,2026-06-02 12:00:02.000000,MSSIS,False,GEDENIUS,0,LK7561,0.0,0.0,2.0,SALMAR FISHFARMS,70,none
265746040,38.951385,20.766665,0.0,235.8,511.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,,0,SIHP,0.0,0.0,0.0,,36,none
251309000,66.06791,-23.117796,0.0,352.0,118.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,FALKI BA45,0,TF TI,0.0,0.0,0.0,,30,none
219028256,57.332733,10.534503,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,ARIEL,0,,0.0,0.0,0.0,,0,none
671436100,24.990637,56.85742,0.0,334.5,0.0,0.0,2,2026-06-02 12:00:02.000000,MSSIS,False,ASTRA,1038858,5VJA2,0.0,0.0,4.0,WAITING FOR ORDER,80,none
219029112,55.963818,11.846,0.0,360.0,9.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,,0,XPH7594,0.0,0.0,0.0,,36,none
367355240,29.967613,-90.26698,0.0,272.5,267.0,0.0,5,2026-06-02 12:00:02.000000,MSSIS,False,OLD GLORY,0,WDE4587,0.0,0.0,3.3,US0DEB0E9A,57,none
219034220,56.125595,12.312527,0.0,0.0,511.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,VILLA II,0,,0.0,0.0,0.0,,0,none
205568590,51.45814,4.008905,2.7,168.8,167.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,BEETHOVEN,0,OT5685,0.0,0.0,3.0,EVERINGEN,80,none
367160840,57.78439,-152.42227,0.0,249.6,511.0,-731.3865,0,2026-06-02 12:00:02.000000,MSSIS,False,CARAVELLE,7732614,WDD5606,0.0,0.0,3.5,KODIAK,30,none
538010430,37.158573,-75.465935,3.5,103.0,92.0,2.187374,2,2026-06-02 12:00:02.000000,MSSIS,False,RUBY ETERNITY,9950428,V7A6028,0.0,0.0,7.0,US BAL,70,none
265512050,57.829647,11.604115,2.9,148.4,511.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,VILLOU,0,,0.0,0.0,0.0,,0,none
261005071,38.76223,1.172745,6.3,256.2,511.0,0.0,15,2026-06-02 12:00:02.000000,MSSIS,False,,0,SPA6010,0.0,0.0,0.0,,36,none
